,brand,processor_brand,processor_name,ram,ram_type,ssd,clock,gpu,gpu_memory,price
110,4,1,0,8,0,0.512,4.1,7,0,39990
111,4,1,2,16,0,0.512,5.0,18,6,109990
112,4,1,1,16,0,1.0,4.6,5,0,76900
113,4,1,1,16,3,0.512,4.6,5,0,87490
114,4,1,1,16,0,0.512,4.4,5,0,72990
115,4,0,8,16,0,0.512,3.2,15,6,91990
116,4,0,6,8,1,0.512,4.5,13,4,85900
117,4,0,8,8,1,0.512,4.7,14,4,104000
118,4,0,8,16,3,1.0,2.7,1,0,77990
119,4,0,6,8,1,0.512,4.55,12,4,55990
120,4,0,7,16,3,0.512,4.3,1,0,49499
121,4,0,7,8,0,0.512,4.3,1,0,43999
122,4,0,6,8,0,0.512,4.2,1,0,81790
123,4,0,6,16,3,0.512,2.9,1,0,68490
124,4,0,7,8,0,0.512,3.7,9,4,55490
125,4,1,1,8,0,0.512,4.2,5,0,95000
127,4,0,6,16,0,0.512,4.2,15,6,77990
128,4,0,8,16,3,1.0,2.7,1,0,77990
129,4,1,0,8,0,0.256,4.1,7,0,41990
130,4,0,8,16,3,0.512,4.5,1,0,86490
131,4,0,8,8,0,0.512,3.2,13,4,69890
132,4,0,6,8,0,0.512,4.0,1,0,53999
133,4,0,8,8,0,0.512,4.4,13,4,77990
134,4,1,0,4,0,0.512,3.4,7,0,31990
135,4,1,1,8,0,0.512,4.4,13,4,68390
136,4,1,1,16,0,0.512,4.4,12,4,111990
138,4,1,1,8,0,0.512,2.4,5,0,55390
139,4,1,0,8,0,0.256,4.1,7,0,34999
140,4,0,7,16,3,0.512,2.8,1,0,51990
142,4,0,6,8,0,0.512,4.2,13,4,69500
143,4,1,1,8,0,0.512,4.6,4,0,58990
144,4,1,0,8,0,0.512,4.5,4,0,51500
145,4,1,1,8,0,0.512,4.4,5,0,65990
146,4,0,4,8,0,0.256,3.5,2,0,29990
147,4,0,6,8,0,0.512,4.2,9,4,57990
148,4,0,6,16,3,0.512,4.5,1,0,85490
149,4,1,1,8,0,0.512,4.5,13,4,79400
150,4,1,1,8,0,0.512,4.4,5,0,70990
152,4,1,0,8,0,0.512,4.1,7,0,46800
153,4,1,2,16,0,0.512,4.7,5,0,109990
154,4,1,1,16,0,0.512,4.4,6,0,72499
156,4,0,8,16,0,0.512,4.4,13,4,83999
158,4,1,2,16,0,1.0,4.7,5,0,92999
160,4,1,2,16,0,0.512,5.0,5,0,89999
161,4,0,6,8,0,0.512,4.2,9,4,54990
163,4,1,0,8,0,0.512,4.1,7,0,38890
164,7,1,2,16,2,0.512,5.0,5,0,86990
165,7,1,1,8,2,0.512,4.6,5,0,71990
167,2,1,1,16,0,0.512,4.2,8,0,51990
168,2,1,1,8,0,0.512,4.4,7,0,49990
169,2,1,0,8,0,0.512,4.1,7,0,30990
170,2,1,0,8,0,0.256,4.1,4,0,28490
171,2,0,6,8,1,0.512,3.3,13,4,59990
172,0,1,1,16,1,1.0,4.6,13,6,94990
175,2,0,8,16,1,0.512,3.2,15,6,106990
176,2,0,5,8,0,0.512,3.85,1,0,30990
177,0,0,8,16,0,0.512,4.4,12,4,69990
178,2,1,0,8,0,0.512,4.1,8,0,36890
179,2,1,1,8,0,0.512,4.2,7,0,48990
180,2,0,4,8,0,0.256,3.5,3,0,29490
181,2,1,1,8,0,0.512,5.0,4,0,52990
182,2,1,1,8,0,0.512,5.0,4,0,52990
183,6,1,1,8,0,0.512,4.4,5,0,41990
184,5,1,0,8,0,0.256,4.4,7,0,33990
185,2,1,1,16,1,0.512,3.3,13,4,72990
187,0,1,1,8,0,0.512,4.4,5,0,47990
188,0,0,6,16,0,0.512,4.2,12,4,61990
189,2,1,2,16,1,0.512,3.2,15,6,99990
190,2,1,1,8,0,0.512,4.4,7,0,72990
191,4,1,1,8,0,0.512,4.4,5,0,51990
