,brand,processor_brand,processor_name,ram,ram_type,ssd,clock,gpu,gpu_memory,price
1037,MSI,Intel,Core i7,16,DDR5,2.0,5.0,NVIDIA GeForce RTX 4070,8,269990
1038,MSI,Intel,Core i5,8,DDR4,0.512,4.5,NVIDIA GeForce RTX 3050,4,68990
1039,MSI,Intel,Core i7,16,DDR5,1.0,4.9,NVIDIA GeForce RTX 4060,8,113990
1040,Lenovo,Intel,Core i5,16,DDR4,0.512,4.4,NVIDIA GeForce RTX 3050,4,65990
1041,ASUS,Intel,Core i5,8,DDR4,0.512,4.5,NVIDIA GeForce RTX 2050,4,63190
1042,MSI,Intel,Core i7,32,DDR4,1.0,5.1,NVIDIA GeForce RTX 2070 Max-Q,8,214990
1043,MSI,Intel,Core i7,32,DDR5,1.0,5.0,NVIDIA GeForce RTX 4060,8,174490
1044,Acer,Intel,Core i7,16,DDR5,1.0,5.0,NVIDIA GeForce RTX 4050,6,109990
1045,DELL,Intel,Core i5,16,DDR5,0.512,4.5,NVIDIA GeForce RTX 3050,4,72990
1046,MSI,AMD,Ryzen 7 Octa Core,16,DDR5,0.512,4.75,AMD Radeon RX6550M,4,79990
1047,MSI,Intel,Core i7,16,DDR4,1.0,4.6,NVIDIA GeForce RTX 3070,8,164990
1048,MSI,Intel,Core i9,32,DDR5,1.0,5.6,NVIDIA GeForce RTX 4080,12,284990
1049,MSI,Intel,Core i7,16,LPDDR5,1.0,5.0,Intel Integrated Iris Xe,0,99990
1050,Lenovo,Intel,Core i5,8,DDR4,0.512,4.5,NVIDIA GeForce GTX 1650,4,47990
1051,ASUS,Intel,Core i5,16,DDR4,0.512,4.5,NVIDIA GeForce RTX 3050,4,61990
1052,MSI,Intel,Core i7,16,DDR4,0.512,4.9,NVIDIA GeForce MX330,2,92990
1053,MSI,Intel,Core i7,8,DDR5,0.512,4.7,NVIDIA GeForce RTX 3050,6,79990
1054,HP,Intel,Core i5,16,DDR4,0.512,4.6,Intel Integrated Integrated,0,64990
1055,MSI,Intel,Core i7,16,DDR5,0.512,4.9,NVIDIA GeForce RTX 2050,4,94990
1056,MSI,Intel,Core i7,16,DDR4,0.128,3.8,NVIDIA GeForce GTX 1050,4,112990
1057,MSI,Intel,Core i5,16,DDR4,0.256,4.4,NVIDIA GeForce RTX 2050,4,61990
1058,Lenovo,Intel,Core i5,16,DDR4,0.512,4.5,NVIDIA GeForce GTX 1650,4,53415
1059,Lenovo,AMD,Ryzen 7 Octa Core,16,DDR5,0.512,5.1,NVIDIA GeForce RTX 4050,6,97990
1060,MSI,Intel,Core i7,16,DDR4,1.0,4.8,NVIDIA GeForce GTX 1650 Ti Max-Q,4,130490
1061,MSI,Intel,Core i5,16,DDR4,0.512,4.5,NVIDIA GeForce GTX 1650,4,53990
1062,HP,Intel,Core i7,16,DDR4,0.512,5.0,NVIDIA GeForce RTX 4050,6,104990
1063,Lenovo,Intel,Core i5,16,DDR5,0.512,4.4,NVIDIA GeForce RTX 4060,8,94990
1064,MSI,Intel,Core i3,8,DDR4,0.512,4.5,Intel Integrated UHD,0,41990
1065,MSI,Intel,Core i9,32,DDR5,1.0,5.4,NVIDIA GeForce RTX 4060,8,249990
1066,MSI,Intel,Core i7,32,DDR5,1.0,5.0,NVIDIA GeForce RTX 4070,8,227990
1067,MSI,Intel,Core i7,16,DDR5,1.0,4.7,NVIDIA GeForce RTX 3070 Ti,8,195990
1068,ASUS,Intel,Core i5,8,DDR4,0.512,4.1,NVIDIA GeForce GTX 1650,4,56999
1069,HP,AMD,Ryzen 7 Octa Core,16,DDR4,0.512,4.4,NVIDIA GeForce RTX 3050,4,74990
1070,MSI,Intel,Core i7,16,DDR5,1.0,4.9,NVIDIA GeForce RTX 4060,8,171990
1071,MSI,Intel,Core i7,8,DDR4,0.512,5.0,Intel Integrated Iris Xe,0,64990
1072,HP,AMD,Ryzen 5 Hexa Core,8,DDR5,0.512,4.55,NVIDIA GeForce RTX 2050,4,55990
1073,HP,AMD,Ryzen 5 Hexa Core,8,DDR4,0.512,4.2,NVIDIA GeForce RTX 3050,4,59990
1074,MSI,Intel,Core i5,8,DDR4,0.512,4.6,Intel Integrated Iris Xe,0,53990
1075,MSI,Intel,Core i7,8,DDR4,0.512,4.4,Intel Integrated Iris Xe,0,60990
1076,MSI,AMD,Ryzen 5 Hexa Core,8,DDR5,0.512,4.55,AMD Radeon RX6550M,4,59990
1077,MSI,Intel,Core i7,16,DDR4,0.512,4.1,NVIDIA GeForce RTX 2060,6,146990
1078,MSI,Intel,Core i7,32,DDR5,1.0,5.0,NVIDIA GeForce RTX 4070,8,234990
1079,MSI,Intel,Core i7,16,DDR4,0.512,4.1,NVIDIA GeForce GTX 1060,6,149990
1080,MSI,Intel,Core i7,16,DDR5,1.0,5.0,NVIDIA GeForce RTX 4060,8,124990
1081,MSI,Intel,Core i5,16,DDR5,1.0,4.4,NVIDIA GeForce RTX 3050,6,79990
1082,MSI,Intel,Core i9,64,DDR5,2.0,5.0,NVIDIA GeForce RTX 3080Ti,16,440990
1083,MSI,Intel,Core i7,16,DDR4,0.256,5.0,NVIDIA GeForce RTX 2060,6,65990
1084,MSI,Intel,Core i7,16,DDR5,1.0,5.0,NVIDIA GeForce RTX 4070,8,184990
1085,MSI,Intel,Core i7,16,DDR4,1.0,4.6,NVIDIA GeForce RTX 3070,8,132990
1086,MSI,Intel,Core i5,16,DDR4,0.512,4.4,NVIDIA GeForce RTX 4050,6,76990
1087,MSI,Intel,Core i7,16,DDR4,1.0,4.8,NVIDIA GeForce RTX 3060,6,129990
1088,MSI,Intel,Core i7,16,DDR4,0.256,5.0,NVIDIA Quadro T1000,4,145490
1089,MSI,Intel,Core i9,16,DDR4,1.0,5.0,NVIDIA GeForce RTX 3060,6,129990
